"11/14/2010 23",23.00,25.97,31.67,8247,FALSE,0,0,,,,
"11/14/2010 24",24.00,19.89,31.66,7914,TRUE,27.75,-596.7,,,,
"11/15/2010 01",1.00,16.51,31.64,7690,TRUE,55.5,-495.3,,,,
"11/15/2010 02",2.00,16.63,31.63,7615,TRUE,83.25,-498.9,,,,
"11/15/2010 03",3.00,17.37,31.61,7538,TRUE,111,-521.1,,,,
"11/15/2010 04",4.00,17.37,31.6,7523,TRUE,138.75,-521.1,,,,
"11/15/2010 05",5.00,17.37,31.58,7599,TRUE,166.5,-521.1,,,,
"11/15/2010 06",6.00,19.16,31.57,7778,TRUE,194.25,-574.8,,,,
"11/15/2010 07",7.00,24.56,31.57,8255,TRUE,210,-736.8,,,,
"11/15/2010 08",8.00,29.91,31.57,8855,TRUE,210,0,,,,
"11/15/2010 09",9.00,29.82,31.58,8943,TRUE,210,0,,,,
"11/15/2010 10",10.00,29.5,31.57,9009,TRUE,210,0,,,,
"11/15/2010 11",11.00,29.49,31.57,9053,TRUE,210,0,,,,
"11/15/2010 12",12.00,28.45,31.57,9003,TRUE,210,0,,,,
"11/15/2010 13",13.00,25.88,31.57,8998,TRUE,210,0,,,,
"11/15/2010 14",14.00,24.47,31.56,8969,TRUE,210,0,,,,
"11/15/2010 15",15.00,24.22,31.56,8947,TRUE,210,0,,,,
"11/15/2010 16",16.00,25.61,31.55,9046,TRUE,210,0,,,,
"11/15/2010 17",17.00,30,31.55,9387,FALSE,180,900,,,,
"11/15/2010 18",18.00,31.42,31.55,9667,FALSE,150,942.6,,,,
"11/15/2010 19",19.00,31.8,31.55,9503,FALSE,120,954,,,,
"11/15/2010 20",20.00,31.42,31.54,9418,FALSE,90,942.6,,,,
"11/15/2010 21",21.00,30.93,31.54,9239,FALSE,60,927.9,,,,
"11/15/2010 22",22.00,29.42,31.53,8994,FALSE,30,882.6,,,,
"11/15/2010 23",23.00,26.08,31.53,8706,FALSE,0,0,,,,
"11/15/2010 24",24.00,17.69,31.51,8308,TRUE,27.75,-530.7,,,,
"11/16/2010 01",1.00,15.85,31.49,8093,TRUE,55.5,-475.5,,,,
"11/16/2010 02",2.00,14.74,31.48,7779,TRUE,83.25,-442.2,,,,
"11/16/2010 03",3.00,13.36,31.46,7714,TRUE,111,-400.8,,,,
"11/16/2010 04",4.00,15.68,31.45,7731,TRUE,138.75,-470.4,,,,
"11/16/2010 05",5.00,13.87,31.44,7718,TRUE,166.5,-416.1,,,,
"11/16/2010 06",6.00,11.29,31.42,7791,TRUE,194.25,-338.7,,,,
"11/16/2010 07",7.00,12.24,31.4,8214,TRUE,210,-367.2,,,,
"11/16/2010 08",8.00,13.18,31.38,8721,TRUE,210,0,,,,
"11/16/2010 09",9.00,13.3,31.36,8801,TRUE,210,0,,,,
"11/16/2010 10",10.00,13.72,31.34,8887,TRUE,210,0,,,,
"11/16/2010 11",11.00,15.23,31.33,8937,TRUE,210,0,,,,
"11/16/2010 12",12.00,24,31.32,8984,TRUE,210,0,,,,
"11/16/2010 13",13.00,27.32,31.32,9018,TRUE,210,0,,,,
"11/16/2010 14",14.00,29.39,31.32,9087,TRUE,210,0,,,,
"11/16/2010 15",15.00,30.22,31.33,9139,TRUE,210,0,,,,
"11/16/2010 16",16.00,30.22,31.33,9139,TRUE,210,0,,,,
"11/16/2010 17",17.00,28.82,31.33,9507,FALSE,180,864.6,,,,
"11/16/2010 18",18.00,32.65,31.34,9777,FALSE,150,979.5,,,,
"11/16/2010 19",19.00,31.28,31.34,9666,FALSE,120,938.4,,,,
"11/16/2010 20",20.00,30.35,31.34,9500,FALSE,90,910.5,,,,
"11/16/2010 21",21.00,29.85,31.34,9387,FALSE,60,895.5,,,,
"11/16/2010 22",22.00,29.62,31.35,9115,FALSE,30,888.6,,,,
"11/16/2010 23",23.00,28.95,31.36,8728,FALSE,0,0,,,,
"11/16/2010 24",24.00,22.33,31.37,8369,TRUE,27.75,-669.9,,,,
"11/17/2010 01",1.00,15.51,31.36,8140,TRUE,55.5,-465.3,,,,
"11/17/2010 02",2.00,16.72,31.36,7994,TRUE,83.25,-501.6,,,,
"11/17/2010 03",3.00,19.46,31.36,7949,TRUE,111,-583.8,,,,
"11/17/2010 04",4.00,16.61,31.35,7900,TRUE,138.75,-498.3,,,,
"11/17/2010 05",5.00,17.2,31.35,7920,TRUE,166.5,-516,,,,
"11/17/2010 06",6.00,17.03,31.34,8096,TRUE,194.25,-510.9,,,,
"11/17/2010 07",7.00,29.76,31.34,8426,TRUE,210,-892.8,,,,
"11/17/2010 08",8.00,30.7,31.34,8902,TRUE,210,0,,,,
"11/17/2010 09",9.00,29.89,31.35,9002,TRUE,210,0,,,,
"11/17/2010 10",10.00,30.31,31.35,9062,TRUE,210,0,,,,
"11/17/2010 11",11.00,29.66,31.35,9112,TRUE,210,0,,,,
"11/17/2010 12",12.00,29.55,31.36,9144,TRUE,210,0,,,,
"11/17/2010 13",13.00,29.49,31.36,9142,TRUE,210,0,,,,
"11/17/2010 14",14.00,29.73,31.37,9255,TRUE,210,0,,,,
"11/17/2010 15",15.00,30.89,31.37,9269,TRUE,210,0,,,,
"11/17/2010 16",16.00,31.5,31.37,9303,TRUE,210,0,,,,
"11/17/2010 17",17.00,201.78,31.61,9581,FALSE,180,6053.4,,,,
"11/17/2010 18",18.00,377.45,32.09,9790,FALSE,150,11323.5,,,,
"11/17/2010 19",19.00,58.48,32.12,9670,FALSE,120,1754.4,,,,
"11/17/2010 20",20.00,32.48,32.13,9617,FALSE,90,974.4,,,,
"11/17/2010 21",21.00,29.7,32.13,9488,FALSE,60,891,,,,
"11/17/2010 22",22.00,29.53,32.14,9231,FALSE,30,885.9,,,,
"11/17/2010 23",23.00,29.52,32.15,8839,FALSE,0,0,,,,
"11/17/2010 24",24.00,29.1,32.16,8433,TRUE,27.75,-873,,,,
"11/18/2010 01",1.00,17.63,32.16,8174,TRUE,55.5,-528.9,,,,
"11/18/2010 02",2.00,23.31,32.17,8037,TRUE,83.25,-699.3,,,,
"11/18/2010 03",3.00,20.36,32.17,7967,TRUE,111,-610.8,,,,
"11/18/2010 04",4.00,15.43,32.17,7919,TRUE,138.75,-462.9,,,,
"11/18/2010 05",5.00,15.27,32.17,7946,TRUE,166.5,-458.1,,,,
"11/18/2010 06",6.00,17.15,32.16,8145,TRUE,194.25,-514.5,,,,
"11/18/2010 07",7.00,29.49,32.17,8582,TRUE,210,-884.7,,,,
"11/18/2010 08",8.00,30.44,32.17,9073,TRUE,210,0,,,,
"11/18/2010 09",9.00,29.67,32.17,9154,TRUE,210,0,,,,
"11/18/2010 10",10.00,29.51,32.17,9205,TRUE,210,0,,,,
"11/18/2010 11",11.00,29.51,32.17,9259,TRUE,210,0,,,,
"11/18/2010 12",12.00,29.51,32.17,9309,TRUE,210,0,,,,
"11/18/2010 13",13.00,29.51,32.17,9295,TRUE,210,0,,,,
"11/18/2010 14",14.00,31.24,32.17,9273,TRUE,210,0,,,,
"11/18/2010 15",15.00,30.93,32.18,9281,TRUE,210,0,,,,
"11/18/2010 16",16.00,32.25,32.18,9317,TRUE,210,0,,,,
"11/18/2010 17",17.00,207.66,32.43,9511,FALSE,180,6229.8,,,,
"11/18/2010 18",18.00,285.08,32.78,9806,FALSE,150,8552.4,,,,
"11/18/2010 19",19.00,75.12,32.83,9710,FALSE,120,2253.6,,,,
"11/18/2010 20",20.00,34.63,32.83,9680,FALSE,90,1038.9,,,,
"11/18/2010 21",21.00,29.54,32.83,9576,FALSE,60,886.2,,,,
"11/18/2010 22",22.00,29.54,32.83,9331,FALSE,30,886.2,,,,
